sampleName,nCount_RNA,nFeature_RNA,percent.mt
WT_0h,5244,2720,0.17162471395881
WT_0h,4583,2327,0.0872790748418067
WT_0h,3475,2026,0.287769784172662
WT_0h,4165,2019,0.21608643457383
WT_0h,4238,2481,0.141576215195847
WT_0h,1181,854,0.254022015241321
WT_0h,4501,2357,0.133303710286603
WT_0h,3262,1888,0.367872470876763
WT_0h,2540,1763,0.511811023622047
WT_0h,3480,2065,0.14367816091954
WT_0h,8924,3872,0.840430300313761
WT_0h,7765,3255,0.0901481004507405
WT_0h,5602,2458,0.321313816494109
WT_0h,8475,3446,0.0589970501474926
WT_0h,600,441,3.5
WT_0h,5058,2633,0.118623962040332
WT_0h,617,471,2.91734197730956
WT_0h,4044,2335,0.19782393669634
WT_0h,3399,2013,0.353045013239188
WT_0h,4408,2162,0.226860254083485
WT_0h,2637,1555,0.151687523701176
WT_0h,3058,1945,0.294310006540222
WT_0h,3520,2007,0.142045454545455
WT_0h,8838,3940,0.39601719846119
WT_0h,3056,1896,0.196335078534031
WT_0h,2653,1618,0.113079532604599
WT_0h,4053,2285,0.296076980014804
WT_0h,4767,2271,0.12586532410321
WT_0h,8252,3332,0.16965584100824
WT_0h,5078,2542,0.216620716817645
WT_0h,7976,3328,0.125376128385155
WT_0h,3735,1982,0.160642570281124
WT_0h,3331,2028,0.75052536775743
WT_0h,3671,2026,0.108962135657859
WT_0h,5783,2562,0.449593636520837
WT_0h,4110,2362,0.097323600973236
WT_0h,3122,1960,0.0960922485586163
WT_0h,5399,2859,0.889053528431191
WT_0h,2833,1714,0.247087892693258
WT_0h,5980,2815,0.117056856187291
WT_0h,4964,2505,0.100725221595487
WT_0h,6921,3237,0.231180465250686
WT_0h,3497,1927,0.171575636259651
WT_0h,3914,2256,0.0255493101686254
WT_0h,6235,3020,0.0962309542902967
WT_0h,6193,2858,0.258356208622638
WT_0h,4352,2372,0.183823529411765
WT_0h,12896,4869,0.43424317617866
WT_0h,2618,1682,0.267379679144385
WT_0h,3021,1977,0.132406487917908
WT_0h,3660,2082,0.273224043715847
WT_0h,3267,1928,0.244872972145699
WT_0h,2752,1757,0.181686046511628
WT_0h,4482,2530,0.200803212851406
WT_0h,2079,1436,0.432900432900433
WT_0h,3491,2072,0.143225436837582
WT_0h,4343,2529,0.184204466958324
WT_0h,6529,3169,0.122530249655384
WT_0h,4709,2363,0.169887449564663
WT_0h,3132,1791,0.734355044699872
WT_0h,3873,2203,0.309837335398916
WT_0h,3338,1970,0.149790293588975
WT_0h,7300,3565,0.424657534246575
WT_0h,3113,1783,0.224863475746868
WT_0h,8034,3713,0.0995767986059248
WT_0h,6841,3379,0.204648443210057
WT_0h,3738,2194,0.0535045478865704
WT_0h,5118,2854,0.449394294646346
WT_0h,2602,1732,1.03766333589546
WT_0h,3977,2187,0.226301232084486
WT_0h,4098,2256,0.219619326500732
WT_0h,2875,1766,0.0695652173913043
WT_0h,2951,1736,0.169434090138936
WT_0h,5351,2687,0.205569052513549
WT_0h,3272,2016,0.366748166259169
WT_0h,5162,2637,0.251840371948857
WT_0h,4794,2544,1.29328327075511
WT_0h,5319,2529,0.0752021056589584
WT_0h,4748,2392,0.06318449873631
WT_0h,3193,1975,0.219229564672722
WT_0h,4339,2409,0.760543904125375
WT_0h,9659,4089,0.0931773475515064
WT_0h,2808,1859,0.0356125356125356
WT_0h,11577,4744,0.716938757882007
WT_0h,3651,2122,0.219118049849356
WT_0h,4871,2376,0.390063641962636
WT_0h,2847,1780,0.105374077976818
WT_0h,441,337,2.04081632653061
WT_0h,1581,973,0.442757748260595
WT_0h,3458,1952,0.144592249855408
WT_0h,2315,1524,0.302375809935205
WT_0h,5200,2719,0.25
WT_0h,4584,2323,0.0654450261780105
WT_0h,2753,1573,0.0726480203414457
WT_0h,3505,1868,0.114122681883024
WT_0h,4738,2570,0.527648796960743
WT_0h,3662,2134,0.136537411250683
WT_0h,4533,2280,0.110302228105008
WT_0h,4785,2440,0.355276907001045
WT_0h,3861,2201,0.0259000259000259
WT_0h,4119,2304,0.485554746297645
WT_0h,7622,3525,0.131199160325374
WT_0h,3277,2025,0.244125724748245
WT_0h,5344,2694,0.243263473053892
WT_0h,4581,2500,0.283780833879066
WT_0h,8809,4088,1.92984447723919
WT_0h,2539,1580,0.0393855848759354
WT_0h,3180,1959,0.0628930817610063
WT_0h,2580,1734,0.465116279069767
WT_0h,3243,1989,0.246685168054271
WT_0h,2296,1473,0.217770034843206
WT_0h,4226,2269,0.425934690014198
WT_0h,3721,2034,0.241870464928783
WT_0h,4286,2439,0.279981334577695
WT_0h,3739,1994,0.106980476063118
WT_0h,442,250,1.35746606334842
WT_0h,5599,2821,0.51794963386319
WT_0h,3293,1948,0.151837230488916
WT_0h,1569,1103,2.80433397068196
WT_0h,5416,2940,0.683161004431315
WT_0h,5027,2507,0.258603540879252
WT_0h,2813,1738,0.426590828297192
WT_0h,3645,2074,0.219478737997257
WT_0h,2649,1747,0.0377500943752359
WT_0h,5142,2520,0.719564371839751
WT_0h,5686,2950,0.668308125219838
WT_0h,697,387,0
WT_0h,7685,3476,1.34027325959662
WT_0h,2853,1640,0.175254118471784
WT_0h,6341,3255,0.362718814067182
WT_0h,4795,2289,0.145985401459854
WT_0h,3237,1941,0.308928019771393
WT_0h,5221,2849,0.325608121049607
WT_0h,4782,2480,0.27185278126307
WT_0h,1257,939,1.35242641209228
WT_0h,6278,3053,0.0796431984708506
WT_0h,2816,1719,0.142045454545455
WT_0h,2886,1829,0.311850311850312
WT_0h,2910,1870,0.240549828178694
WT_0h,3162,1869,0.094876660341556
WT_0h,3610,1928,0.166204986149584
WT_0h,6722,3280,0.342160071407319
WT_0h,4802,2634,0.895460224906289
WT_0h,408,220,0.490196078431373
WT_0h,1563,908,2.68714011516315
WT_0h,4925,2787,0.649746192893401
WT_0h,3142,1887,0.190961171228517
WT_0h,5652,2956,0.212314225053079
WT_0h,4191,2233,3.19732760677643
WT_0h,2588,1502,0.193199381761978
WT_0h,3292,1922,0.334143377885784
WT_0h,3091,1875,0.48527984471045
WT_0h,3131,1892,1.24560843181092
WT_0h,1069,672,0.654817586529467
WT_0h,4392,2450,0.227686703096539
WT_0h,2979,1788,0.167841557569654
WT_0h,5299,2715,0.471787129647103
WT_0h,4198,2195,0.547879942829919
WT_0h,2786,1709,0.0717875089734386
WT_0h,3839,2216,0.104193800468872
WT_0h,3930,2065,0.152671755725191
WT_0h,7036,3413,0.440591245025583
WT_0h,4058,2369,0.147856086742238
WT_0h,2522,1498,0.158604282315623
WT_0h,3929,2198,0.127258844489692
WT_0h,3339,1783,0.119796346211441
WT_0h,4987,2324,0.160417084419491
WT_0h,4132,2170,0.0484027105517909
WT_0h,3454,1937,0.202663578459757
WT_0h,4236,2310,0.377714825306893
WT_0h,2942,1863,0.135961930659415
WT_0h,3172,1916,0.0315258511979823
WT_0h,3509,2077,0.569962952408093
WT_0h,3417,1953,0.0585308750365818
WT_0h,3212,2063,0.404732254047322
WT_0h,5057,2707,0.830531935930394
WT_0h,5022,2602,0.17921146953405
WT_0h,2791,1736,1.46900752418488
WT_0h,4065,2187,0.0738007380073801
WT_0h,4790,2504,0.146137787056367
WT_0h,666,357,0.900900900900901
WT_0h,4398,2216,0.204638472032742
WT_0h,9403,4054,0.319047112623631
WT_0h,2519,1719,0.119094878920206
WT_0h,9543,3997,0.0733521953264173
WT_0h,7507,3294,0.0932463034501132
WT_0h,3877,2302,0
WT_0h,3214,1869,0.186683260734287
WT_0h,14788,5294,0.317825263727346
WT_0h,2915,1715,0.102915951972556
WT_0h,4797,2560,0.291849072336877
WT_0h,2798,1832,0
WT_0h,5528,2949,0.741678726483357
WT_0h,3045,1861,0.13136288998358
WT_0h,2901,1809,0.103412616339193
WT_0h,6819,3415,0.087989441267048
WT_0h,3816,2056,0.10482180293501
WT_0h,5638,2734,0.443419652358993
WT_0h,2445,1535,0.081799591002045
WT_0h,3485,2131,0.114777618364419
WT_0h,3078,1802,0.0974658869395711
WT_0h,4907,2273,0.101895251681272
WT_0h,5857,2937,0.443913266177224
WT_0h,6173,3351,0.291592418597116
WT_0h,3609,1976,0.554170130229981
WT_0h,411,268,0
WT_0h,4822,2530,0.228121111571962
WT_0h,276,248,3.26086956521739
WT_0h,2490,1707,0.240963855421687
WT_0h,3172,1722,0.126103404791929
WT_0h,11425,4300,0.227571115973742
WT_0h,7852,3644,0.280183392766174
WT_0h,4073,2305,0.0736557819788853
WT_0h,3220,1880,0.186335403726708
WT_0h,3717,2121,0.0807102502017756
WT_0h,3227,1978,0.0619770684846607
WT_0h,2591,1758,0.0771902740254728
WT_0h,2978,1966,0.167897918065816
WT_0h,3840,2316,0.885416666666667
WT_0h,8061,3736,0.272918992680809
WT_0h,3728,2001,0.107296137339056
WT_0h,10403,4486,0.442180140344131
WT_0h,1827,1402,0.985221674876847
WT_0h,2585,1540,0
WT_0h,4950,2743,0.303030303030303
WT_0h,2342,1537,0.085397096498719
WT_0h,3394,1950,0.176782557454331
WT_0h,3325,1848,0.571428571428571
WT_0h,4242,2181,0.0471475719000471
WT_0h,4697,2433,0.234192037470726
WT_0h,948,512,0.949367088607595
WT_0h,4202,2477,0.666349357448834
WT_0h,3256,1931,0.307125307125307
WT_0h,3679,2134,0.380538189725469
WT_0h,3841,2215,0.312418640978912
WT_0h,4079,2314,0.0980632507967639
WT_0h,2506,1602,0.19952114924182
